Date,Shares
2024-01-12,380847008
2024-01-13,380847008
2024-01-19,380847008
2024-01-20,380847008
2024-01-23,380847008
2024-01-24,380847008
2024-01-25,380847008
2024-01-27,380400000
2024-01-30,381059008
2024-02-02,382548992
2024-02-10,380991008
2024-02-13,380400000
2024-02-21,380400000
2024-02-22,380400000
2024-02-24,380400000
2024-02-27,380372992
2024-03-02,380372992
2024-03-05,382555008
2024-03-06,380372992
2024-03-07,380372992
2024-03-12,380372992
2024-03-14,380372992
2024-03-15,380372992
2024-03-16,391260992
2024-03-22,380392000
2024-03-23,380392000
2024-03-26,380392000
2024-03-28,380392000
2024-03-29,380392000
2024-04-03,380392000
2024-04-04,380392000
2024-04-05,380392000
2024-04-06,380392000
2024-04-09,380392000
2024-04-12,380392000
2024-04-13,380392000
2024-04-16,380392000
2024-04-17,380392000
2024-04-19,380392000
2024-04-25,380392000
2024-04-27,380392000
2024-04-30,382248000
2024-05-02,382100000
2024-05-03,382100000
2024-05-04,381921984
2024-05-08,381921984
2024-05-10,382832992
2024-05-11,381921984
2024-05-14,381921984
2024-05-17,381921984
2024-05-21,382465984
2024-05-22,381921984
2024-05-23,381921984
2024-05-24,381921984
2024-05-25,381921984
2024-05-31,381921984
2024-06-07,381921984
2024-06-11,381921984
2024-06-12,381921984
2024-06-13,381921984
2024-06-14,381921984
2024-06-15,381921984
2024-06-21,381921984
2024-06-28,381921984
2024-07-02,381921984
2024-07-03,381921984
2024-07-10,382984000
2024-07-11,381921984
2024-07-12,381921984
2024-07-16,381921984
2024-07-18,382152000
2024-07-24,381921984
2024-07-25,381900000
2024-08-03,381856000
2024-08-06,381856000
2024-08-07,381856000
2024-08-08,381856000
2024-08-13,389631008
2024-08-14,381856000
2024-08-15,381856000
2024-08-16,381856000
2024-08-17,381856000
2024-08-20,381856000
2024-08-21,381856000
2024-08-22,381856000
2024-08-23,381856000
2024-08-24,381856000
2024-08-27,381910016
2024-08-28,381856000
2024-08-29,381856000
2024-08-30,381856000
2024-08-31,381856000
2024-09-04,381856000
2024-09-05,386716992
2024-09-06,386371008
2024-09-07,390344992
2024-09-10,381856000
2024-09-11,381856000
2024-09-12,386137984
2024-09-13,381856000
2024-09-16,381856000
2024-09-17,381856000
2024-09-18,381856000
2024-09-20,381856000
2024-09-21,381856000
2024-09-25,381856000
2024-09-27,381856000
2024-09-28,381856000
2024-10-01,381856000
2024-10-04,381856000
2024-10-10,381856000
2024-10-12,381856000
2024-10-16,381856000
2024-10-17,381856000
2024-10-18,381856000
2024-10-19,381856000
2024-10-22,381856000
2024-10-25,384323008
2024-10-26,381500000
2024-10-29,387071008
2024-10-30,381500000
2024-11-01,381500000
2024-11-02,381510016
2024-11-06,381510016
2024-11-07,381510016
2024-11-08,394204992
2024-11-13,381510016
2024-11-19,386267008
2024-11-20,381510016
2024-11-21,381510016
2024-11-22,381510016
2024-12-03,381510016
2024-12-04,382448992
2024-12-06,381510016
2024-12-11,383148992
2024-12-12,381510016
2024-12-13,384195008
2024-12-14,381510016
2024-12-17,381510016
2024-12-18,381510016
2024-12-19,381510016
2024-12-21,381510016
2024-12-24,381510016
2024-12-25,381510016
2024-12-27,381510016
2024-12-31,381510016
2025-01-01,381510016
2025-01-04,381510016
2025-01-05,381510016
2025-01-07,381230016
2025-01-11,381230016
2025-01-23,381230016
2025-01-24,381230016
2025-01-25,381230016
2025-01-29,381230016
2025-01-31,381230016
2025-02-04,381230016
2025-02-06,381230016
2025-02-08,387664992
2025-02-11,381230016
2025-02-12,381230016
