date,name_zh,name,kind
2010-02-15,農曆新年,,holiday
2010-02-16,農曆新年,,holiday
2010-04-02,耶穌受難節,Good Friday,holiday
2010-04-05,復活節星期一,Easter Monday,holiday
2010-04-06,清明節補假,,holiday
2010-05-21,佛誕,,holiday
2010-06-16,端午節,,holiday
2010-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2010-09-23,中秋節翌日,,holiday
2010-10-01,國慶日,National Day,holiday
2010-12-27,聖誕節補假,Weekend Christmas,holiday
2011-02-03,農曆新年,,holiday
2011-02-04,農曆新年,,holiday
2011-04-05,清明節,,holiday
2011-04-22,耶穌受難節,Good Friday,holiday
2011-04-25,復活節星期一,Easter Monday,holiday
2011-05-02,勞動節,Labour Day,holiday
2011-05-10,佛誕,,holiday
2011-06-06,端午節,,holiday
2011-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2011-09-13,中秋節翌日,,holiday
2011-09-29,公眾假期,,holiday
2011-10-05,重陽節,,holiday
2011-12-26,聖誕節翌日,Boxing Day,holiday
2011-12-27,聖誕節補假,Weekend Christmas,holiday
2012-01-02,元旦,New Year's Day,holiday
2012-01-23,農曆新年,,holiday
2012-01-24,農曆新年,,holiday
2012-01-25,農曆新年,,holiday
2012-04-04,清明節,,holiday
2012-04-06,耶穌受難節,Good Friday,holiday
2012-04-09,復活節星期一,Easter Monday,holiday
2012-05-01,勞動節,Labour Day,holiday
2012-07-02,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2012-10-01,國慶日,National Day,holiday
2012-10-02,中秋節翌日補假,,holiday
2012-10-23,重陽節,,holiday
2012-12-25,聖誕節,Christmas,holiday
2012-12-26,聖誕節翌日,Boxing Day,holiday
2013-01-01,元旦,New Year's Day,holiday
2013-02-11,農曆新年,,holiday
2013-02-12,農曆新年,,holiday
2013-02-13,農曆新年,,holiday
2013-03-29,耶穌受難節,Good Friday,holiday
2013-04-01,復活節星期一,Easter Monday,holiday
2013-04-04,清明節,,holiday
2013-05-01,勞動節,Labour Day,holiday
2013-05-17,佛誕,,holiday
2013-06-12,端午節,,holiday
2013-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2013-08-14,公眾假期,,holiday
2013-09-20,中秋節翌日,,holiday
2013-10-01,國慶日,National Day,holiday
2013-10-14,重陽節補假,,holiday
2013-12-25,聖誕節,Christmas,holiday
2013-12-26,聖誕節翌日,Boxing Day,holiday
2014-01-01,元旦,New Year's Day,holiday
2014-01-31,農曆新年,,holiday
2014-02-03,農曆新年,,holiday
2014-04-18,耶穌受難節,Good Friday,holiday
2014-04-21,復活節星期一,Easter Monday,holiday
2014-05-01,勞動節,Labour Day,holiday
2014-05-06,佛誕,,holiday
2014-06-02,端午節,,holiday
2014-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2014-09-09,中秋節翌日,,holiday
2014-10-01,國慶日,National Day,holiday
2014-10-02,重陽節,,holiday
2014-12-25,聖誕節,Christmas,holiday
2014-12-26,聖誕節翌日,Boxing Day,holiday
2015-01-01,元旦,New Year's Day,holiday
2015-02-19,農曆新年,,holiday
2015-02-20,農曆新年,,holiday
2015-04-03,耶穌受難節,Good Friday,holiday
2015-04-06,復活節星期一,Easter Monday,holiday
2015-04-07,清明節補假,,holiday
2015-05-01,勞動節,Labour Day,holiday
2015-05-25,佛誕,,holiday
2015-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2015-09-03,公眾假期,,holiday
2015-09-28,中秋節翌日,,holiday
2015-10-01,國慶日,National Day,holiday
2015-10-21,重陽節,,holiday
2015-12-25,聖誕節,Christmas,holiday
2016-01-01,元旦,New Year's Day,holiday
2016-02-08,農曆新年,,holiday
2016-02-09,農曆新年,,holiday
2016-02-10,農曆新年,,holiday
2016-03-25,耶穌受難節,Good Friday,holiday
2016-03-28,復活節星期一,Easter Monday,holiday
2016-04-04,清明節,,holiday
2016-05-02,勞動節,Labour Day,holiday
2016-06-09,端午節,,holiday
2016-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2016-08-02,公眾假期,,holiday
2016-09-16,中秋節翌日,,holiday
2016-10-10,重陽節補假,,holiday
2016-10-21,公眾假期,,holiday
2016-12-26,聖誕節翌日,Boxing Day,holiday
2016-12-27,聖誕節補假,Weekend Christmas,holiday
2017-01-02,元旦,New Year's Day,holiday
2017-01-30,農曆新年,,holiday
2017-01-31,農曆新年,,holiday
2017-04-04,清明節,,holiday
2017-04-14,耶穌受難節,Good Friday,holiday
2017-04-17,復活節星期一,Easter Monday,holiday
2017-05-01,勞動節,Labour Day,holiday
2017-05-03,佛誕,,holiday
2017-05-30,端午節,,holiday
2017-08-23,公眾假期,,holiday
2017-10-02,國慶日,National Day,holiday
2017-10-05,中秋節翌日,,holiday
2017-12-25,聖誕節,Christmas,holiday
2017-12-26,聖誕節翌日,Boxing Day,holiday
2018-01-01,元旦,New Year's Day,holiday
2018-02-16,農曆新年,,holiday
2018-02-19,農曆新年,,holiday
2018-03-30,耶穌受難節,Good Friday,holiday
2018-04-02,復活節星期一,Easter Monday,holiday
2018-04-05,清明節,,holiday
2018-05-01,勞動節,Labour Day,holiday
2018-05-22,佛誕,,holiday
2018-06-18,端午節,,holiday
