Date,Value
1986-05-01,27.46
1986-06-01,22.75
1986-07-01,34.32
1986-08-01,51.44
1986-09-01,39.92
1986-10-01,38.65
1986-11-01,39.47
1986-12-01,39.09
1987-01-01,33.12
1987-02-01,41.41
1987-03-01,30.18
1987-04-01,40.64
1987-05-01,44.22
1987-06-01,34.35
1987-07-01,35.91
1987-08-01,32.17
1987-09-01,44.21
1987-10-01,49.34
1987-11-01,49.92
1987-12-01,42.36
1988-01-01,52.66
1988-02-01,49.84
1988-03-01,62.45
1988-04-01,70.0
1988-05-01,71.83
1988-06-01,63.1
1988-07-01,61.09
1988-08-01,62.76
1988-09-01,64.14
1988-10-01,80.08
1988-11-01,42.75
1988-12-01,46.77
1989-01-01,44.34
1989-02-01,33.72
1989-03-01,39.97
1989-04-01,37.08
1989-05-01,64.18
1989-06-01,45.53
1989-07-01,49.39
1989-08-01,46.06
1989-09-01,34.69
1989-10-01,21.63
1989-11-01,44.5
1989-12-01,26.87
1990-01-01,32.0
1990-02-01,42.41
1990-03-01,42.58
1990-04-01,47.87
1990-05-01,56.92
1990-06-01,61.64
1990-07-01,54.48
1990-08-01,54.4
1990-09-01,54.99
1990-10-01,53.26
1990-11-01,59.59
1990-12-01,62.72
1991-01-01,63.48
1991-02-01,67.48
1991-03-01,104.27
1991-04-01,108.1
1991-05-01,80.78
1991-06-01,72.05
1991-07-01,66.16
1991-08-01,64.48
1991-09-01,62.76
1991-10-01,61.82
1991-11-01,61.69
1991-12-01,59.87
1992-01-01,60.39
1992-02-01,63.03
1992-03-01,63.76
1992-04-01,65.83
1992-05-01,67.63
1992-06-01,68.49
1992-07-01,66.72
1992-08-01,64.91
1992-09-01,63.31
1992-10-01,65.73
1992-11-01,66.68
1992-12-01,67.77
1993-01-01,65.19
1993-02-01,59.3
1993-03-01,66.94
1993-04-01,62.6
1993-05-01,62.27
1993-06-01,59.47
1993-07-01,59.44
1993-08-01,58.07
1993-09-01,57.48
1993-10-01,57.93
1993-11-01,75.64
1993-12-01,69.63
1994-01-01,91.14
1994-02-01,192.72
1994-03-01,350.53
1994-04-01,258.42
1994-05-01,262.84
1994-06-01,53.94
1994-07-01,43.4
1994-08-01,87.43
1994-09-01,69.14
1994-10-01,71.01
1994-11-01,65.04
1994-12-01,92.04
1995-01-01,87.41
1995-02-01,66.98
1995-03-01,66.0
1995-04-01,68.75
1995-05-01,76.63
1995-06-01,57.77
1995-07-01,48.16
1995-08-01,59.01
1995-09-01,73.15
1995-10-01,75.52
1995-11-01,81.82
1995-12-01,106.31
1996-01-01,95.22
1996-02-01,83.26
1996-03-01,89.94
1996-04-01,76.39
1996-05-01,62.66
1996-06-01,65.3
1996-07-01,74.59
1996-08-01,68.08
1996-09-01,73.87
1996-10-01,74.76
1996-11-01,76.82
1996-12-01,73.99
1997-01-01,61.48
1997-02-01,66.29
1997-03-01,65.12
1997-04-01,68.52
1997-05-01,66.3
1997-06-01,70.53
1997-07-01,69.0
1997-08-01,73.93
1997-09-01,75.23
1997-10-01,71.57
1997-11-01,77.87
1997-12-01,78.04
1998-01-01,72.78
1998-02-01,82.12
1998-03-01,80.6
1998-04-01,73.51
1998-05-01,74.19
1998-06-01,65.75
1998-07-01,54.81
1998-08-01,76.41
1998-09-01,78.85
1998-10-01,78.23
1998-11-01,78.94
1998-12-01,78.97
1999-01-01,78.88
1999-02-01,77.38
1999-03-01,76.32
1999-04-01,76.96
1999-05-01,76.96
1999-06-01,76.91
1999-07-01,71.02
1999-08-01,71.1
1999-09-01,67.51
1999-10-01,69.49
1999-11-01,69.84
1999-12-01,69.97
2000-01-01,36.79
2000-02-01,50.06
2000-03-01,39.2
2000-04-01,36.68
2000-05-01,41.16
2000-06-01,43.05
2000-07-01,26.56
2000-08-01,42.58
2000-09-01,47.44
2000-10-01,38.53
2000-11-01,95.43
2000-12-01,183.2
2001-01-01,42.7
2001-02-01,400.27
2001-03-01,81.19
2001-04-01,80.99
2001-05-01,71.46
2001-06-01,63.0
2001-07-01,65.34
2001-08-01,62.54
2001-09-01,59.03
2001-10-01,58.93
2001-11-01,59.0
2001-12-01,59.0
2002-01-01,59.0
2002-02-01,58.3
2002-03-01,54.73
2002-04-01,51.31
2002-05-01,48.0
2002-06-01,48.0
2002-07-01,48.03
2002-08-01,46.16
2002-09-01,46.0
2002-10-01,46.0
2002-11-01,44.53
2002-12-01,44.0
2003-01-01,44.0
2003-02-01,44.0
2003-03-01,44.0
2003-04-01,43.55
2003-05-01,41.0
2003-06-01,38.23
2003-07-01,36.54
2003-08-01,32.43
2003-09-01,30.66
2003-10-01,27.47
2003-11-01,26.0
2003-12-01,26.0
2004-01-01,26.0
2004-02-01,24.0
2004-03-01,22.98
2004-04-01,22.0
2004-05-01,22.0
2004-06-01,22.0
2004-07-01,22.0
2004-08-01,22.0
2004-09-01,20.44
2004-10-01,20.0
2004-11-01,20.0
2004-12-01,18.69
2005-01-01,17.48
2005-02-01,16.7
2005-03-01,15.57
2005-04-01,15.13
2005-05-01,14.73
2005-06-01,14.3
2005-07-01,14.25
2005-08-01,14.25
2005-09-01,14.25
2005-10-01,14.07
2005-11-01,13.78
2005-12-01,13.57
2006-01-01,13.5
2006-02-01,13.5
2006-03-01,13.5
2006-04-01,13.49
2006-05-01,13.25
2006-06-01,15.0
2006-07-01,17.34
2006-08-01,17.5
2006-09-01,17.5
2006-10-01,17.5
2006-11-01,17.5
2006-12-01,17.5
2007-01-01,17.5
2007-02-01,17.5
2007-03-01,17.5
2007-04-01,17.5
2007-05-01,17.5
2007-06-01,17.5
2007-07-01,17.5
2007-08-01,17.5
2007-09-01,17.36
2007-10-01,17.03
2007-11-01,16.5
2007-12-01,15.96
2008-01-01,15.66
2008-02-01,15.39
