Date,Value
1991-06-01,68.5
1991-07-01,62.0
1991-08-01,49.1
1991-09-01,48.7
1991-10-01,47.0
1991-11-01,46.9
1991-12-01,47.2
1992-01-01,46.4
1992-02-01,46.9
1992-03-01,46.4
1992-04-01,47.2
1992-05-01,46.3
1992-06-01,47.6
1992-07-01,44.5
1992-08-01,44.5
1992-09-01,44.7
1992-10-01,43.0
1992-11-01,43.9
1992-12-01,44.3
1993-01-01,41.0
1993-02-01,38.0
1993-03-01,35.1
1993-04-01,33.5
1993-05-01,33.4
1993-06-01,33.4
1993-07-01,33.9
1993-08-01,33.9
1993-09-01,34.0
1993-10-01,33.9
1993-11-01,34.3
1993-12-01,34.1
1994-01-01,34.3
1994-02-01,34.1
1994-03-01,33.2
1994-04-01,33.2
1994-05-01,32.41
1994-06-01,31.8
1994-07-01,31.69
1994-08-01,31.03
1994-09-01,30.5
1994-10-01,30.32
1994-11-01,29.64
1994-12-01,28.89
1995-01-01,28.61
1995-02-01,30.08
1995-03-01,30.44
1995-04-01,29.93
1995-05-01,28.96
1995-06-01,27.68
1995-07-01,27.18
1995-08-01,26.58
1995-09-01,25.82
1995-10-01,25.66
1995-11-01,25.8
1995-12-01,25.54
1996-01-01,22.95
1996-02-01,22.67
1996-03-01,22.65
1996-04-01,22.87
1996-05-01,21.59
1996-06-01,21.63
1996-07-01,20.18
1996-08-01,19.46
1996-09-01,20.01
1996-10-01,19.76
1996-11-01,19.8
1996-12-01,22.43
1997-01-01,21.47
1997-02-01,21.77
1997-03-01,22.08
1997-04-01,22.11
1997-05-01,22.14
1997-06-01,22.14
1997-07-01,24.36
1997-08-01,24.09
1997-09-01,24.23
1997-10-01,24.15
1997-11-01,24.35
1997-12-01,24.43
1998-01-01,24.98
1998-02-01,23.59
1998-03-01,24.19
1998-04-01,22.74
1998-05-01,21.6
1998-06-01,21.08
1998-07-01,18.87
1998-08-01,18.69
1998-09-01,17.64
1998-10-01,15.78
1998-11-01,15.05
1998-12-01,14.65
1999-01-01,12.6
1999-02-01,12.68
1999-03-01,12.84
1999-04-01,12.95
1999-05-01,13.04
1999-06-01,13.11
1999-07-01,13.46
1999-08-01,13.63
1999-09-01,16.32
1999-10-01,17.42
1999-11-01,18.59
1999-12-01,19.5
2000-01-01,17.34
2000-02-01,18.59
2000-03-01,18.3
2000-04-01,18.52
2000-05-01,18.42
2000-06-01,18.6
2000-07-01,18.54
2000-08-01,19.63
2000-09-01,19.51
2000-10-01,19.82
2000-11-01,19.78
2000-12-01,19.45
2001-01-01,18.86
2001-02-01,18.29
2001-03-01,17.37
2001-04-01,17.15
2001-05-01,17.16
2001-06-01,16.09
2001-07-01,15.49
2001-08-01,15.42
2001-09-01,14.56
2001-10-01,13.84
2001-11-01,12.45
2001-12-01,11.91
2002-01-01,10.64
2002-02-01,10.22
2002-03-01,10.34
2002-04-01,10.1
2002-05-01,9.6
2002-06-01,8.97
2002-07-01,8.69
2002-08-01,8.33
2002-09-01,7.73
2002-10-01,7.02
2002-11-01,6.76
2002-12-01,6.87
2003-01-01,6.47
2003-02-01,6.27
2003-03-01,5.98
2003-04-01,5.91
2003-05-01,5.4
2003-06-01,5.32
2003-07-01,5.24
2003-08-01,5.14
2003-09-01,5.24
2003-10-01,5.86
2003-11-01,5.83
2003-12-01,5.6
2004-01-01,5.46
2004-02-01,5.5
2004-03-01,5.49
2004-04-01,5.85
2004-05-01,6.0
2004-06-01,6.05
2004-07-01,6.41
2004-08-01,7.0
2004-09-01,6.91
2004-10-01,6.84
2004-11-01,6.77
2004-12-01,6.64
2005-01-01,6.61
2005-02-01,6.31
2005-03-01,5.91
2005-04-01,5.59
2005-05-01,5.44
2005-06-01,4.9
2005-07-01,4.67
2005-08-01,4.6
2005-09-01,4.5
2005-10-01,4.62
2005-11-01,4.63
2005-12-01,4.6
2006-01-01,4.4
2006-02-01,4.16
2006-03-01,4.17
2006-04-01,4.13
2006-05-01,4.15
2006-06-01,4.21
2006-07-01,4.18
2006-08-01,4.19
2006-09-01,4.22
2006-10-01,4.2
2006-11-01,4.2
2006-12-01,4.2
2007-01-01,4.19
2007-02-01,4.22
2007-03-01,4.24
2007-04-01,4.4
2007-05-01,4.44
2007-06-01,4.445
2007-07-01,4.81
2007-08-01,5.03
2007-09-01,5.01
2007-10-01,5.21
2007-11-01,5.56
2007-12-01,5.68
2008-01-01,5.65
2008-02-01,5.94
2008-03-01,6.15
2008-04-01,6.34
2008-05-01,6.48
2008-06-01,6.65
2008-07-01,6.56
2008-08-01,6.5
2008-09-01,6.63
2008-10-01,6.85
2008-11-01,6.56
2008-12-01,5.88
2009-01-01,4.86
2009-02-01,4.51
2009-03-01,4.17
2009-04-01,4.3
2009-05-01,4.62
2009-06-01,4.44
2009-07-01,4.17
2009-08-01,4.18
2009-09-01,4.18
2009-10-01,4.18
2009-11-01,4.19
2009-12-01,4.27
2010-01-01,4.19
2010-02-01,4.15
2010-03-01,4.1
2010-04-01,3.86
2010-05-01,3.86
2010-06-01,3.87
2010-07-01,3.82
2010-08-01,3.81
2010-09-01,3.84
2010-10-01,3.85
2010-11-01,3.88
2010-12-01,3.95
2011-01-01,4.09
2011-02-01,4.15
2011-03-01,4.2
2011-04-01,4.3
2011-05-01,4.45
2011-06-01,4.69
2011-07-01,4.71
2011-08-01,4.72
2011-09-01,4.76
2011-10-01,4.91
2011-11-01,4.97
2011-12-01,4.99
2012-01-01,4.99
2012-02-01,4.9747
2012-03-01,4.94
2012-04-01,4.95
2012-05-01,5.11
2012-06-01,5.13
2012-07-01,5.11
2012-08-01,5.04
2012-09-01,4.92
2012-10-01,4.73
2012-11-01,4.49
2012-12-01,4.11
2013-01-01,3.95
2013-02-01,3.73
2013-03-01,3.39
2013-04-01,3.08
2013-05-01,2.74
2013-06-01,2.73
2013-07-01,2.7
2013-08-01,2.7
2013-09-01,2.67
2013-10-01,2.66
2013-11-01,2.65
2013-12-01,2.71
2014-01-01,2.71
2014-02-01,2.71
2014-03-01,2.71
2014-04-01,2.72
2014-05-01,2.72
2014-06-01,2.68
2014-07-01,2.67
2014-08-01,2.59
2014-09-01,2.28
2014-10-01,1.96
2014-11-01,2.06
2014-12-01,2.06
2015-01-01,2.0
2015-02-01,1.81
2015-03-01,1.65
2015-04-01,1.65
2015-05-01,1.68
2015-06-01,1.72
2015-07-01,1.72
2015-08-01,1.72
2015-09-01,1.73
2015-10-01,1.73
2015-11-01,1.73
2015-12-01,1.72
2016-01-01,1.7
2016-02-01,1.68
2016-03-01,1.67
2016-04-01,1.67
2016-05-01,1.68
2016-06-01,1.71
2016-07-01,1.71
2016-08-01,1.71
2016-09-01,1.71
2016-10-01,1.72
2016-11-01,1.73
2016-12-01,1.73
2017-01-01,1.73
2017-02-01,1.73
2017-03-01,1.73
2017-04-01,1.73
2017-05-01,1.73
2017-06-01,1.73
2017-07-01,1.73
2017-08-01,1.73
2017-09-01,1.73
2017-10-01,1.73
2017-11-01,1.73
2017-12-01,1.72
2018-01-01,1.72
2018-02-01,1.72
2018-03-01,1.7
2018-04-01,1.7
2018-05-01,1.7
2018-06-01,1.7
2018-07-01,1.7
2018-08-01,1.71
2018-09-01,1.72
2018-10-01,1.72
2018-11-01,1.72
2018-12-01,1.72
2019-01-01,1.72
2019-02-01,1.72
2019-03-01,1.72
2019-04-01,1.72
2019-05-01,1.72
2019-06-01,1.72
2019-07-01,1.72
2019-08-01,1.72
2019-09-01,1.72
2019-10-01,1.71
2019-11-01,1.71
2019-12-01,1.71
2020-01-01,1.71
2020-02-01,1.71
2020-03-01,1.17
2020-04-01,0.68
2020-05-01,0.28
2020-06-01,0.26
2020-07-01,0.23
2020-08-01,0.23
2020-09-01,0.22
2020-10-01,0.22
2020-11-01,0.22
2020-12-01,0.21
2021-01-01,0.21
2021-02-01,0.21
2021-03-01,0.21
2021-04-01,0.21
2021-05-01,0.21
2021-06-01,0.21
2021-07-01,0.21
2021-08-01,0.22
2021-09-01,0.23
2021-10-01,0.74
2021-11-01,2.06
2021-12-01,2.54
2022-01-01,3.02
2022-02-01,3.65
2022-03-01,4.77
2022-04-01,6.05
2022-05-01,6.59
2022-06-01,7.05
2022-07-01,7.01
2022-08-01,7.11
2022-09-01,7.21
2022-10-01,7.51
2022-11-01,7.28
2022-12-01,7.02
2023-01-01,6.95
2023-02-01,6.94
2023-03-01,6.89
2023-04-01,6.9
2023-05-01,6.9
2023-06-01,6.9
2023-07-01,6.76
2023-08-01,6.69
2023-09-01,5.99
2023-10-01,5.68
2023-11-01,5.77
2023-12-01,5.85
2024-01-01,5.87
2024-02-01,5.86
2024-03-01,5.86
2024-04-01,5.86
2024-05-01,5.85
2024-06-01,5.84
2024-07-01,5.86
2024-08-01,5.85
2024-09-01,5.85
2024-10-01,5.85
2024-11-01,5.85
2024-12-01,5.85
2025-01-01,5.85
2025-02-01,5.87
2025-03-01,5.85
2025-04-01,5.59
2025-05-01,5.26
2025-06-01,5.22
2025-07-01,5.02
2025-08-01,4.88
2025-09-01,4.75
2025-10-01,4.56
2025-11-01,4.28
2025-12-01,4.06
2026-01-01,3.93
2026-02-01,3.86
2026-03-01,3.82
2026-04-01,3.85
2026-05-01,3.85
2026-06-01,3.85
2026-07-01,3.82
