market,date,code,oi,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-07-28,095741,44073,4200,504,664,32010,37552,7199,5353
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-07-28,097741,116184,3130,41054,321,99801,46616,12932,28193
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-07-28,098662,5988,3381,3960,50,1077,854,1480,1124
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-07-28,102741,6882,1441,85,250,3995,2200,1196,4347
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1998-07-28,122741,1418,0,0,0,1168,690,250,728
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-07-28,232741,24327,0,2408,0,21598,17801,2729,4118
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-08-04,089741,3662,276,546,0,1604,1282,1782,1834
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-08-04,090741,73331,4278,27610,2018,45999,25764,21036,17939
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-08-04,092741,69201,1633,10274,0,48731,39737,18837,19190
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-08-04,095741,43013,3546,281,664,31522,35646,7281,6422
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-04,097741,142444,7563,53271,281,122811,55565,11789,33327
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-08-04,098662,6798,4228,5358,111,973,631,1486,698
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-08-04,102741,5904,1244,335,0,3000,2473,1660,3096
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1998-08-04,122741,1418,0,0,0,1168,690,250,728
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-08-04,232741,24918,0,2384,0,21966,17044,2952,5490
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-08-11,089741,3983,276,671,0,1871,1232,1836,2080
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-08-11,090741,72943,4841,26672,1927,45835,27258,20340,17086
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-08-11,092741,63325,3636,9825,0,46920,38791,12769,14709
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-08-11,095741,45139,3243,2456,0,34223,34737,7673,7946
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-11,097741,150804,3873,58571,308,133525,57522,13098,34403
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-08-11,098662,7204,1777,1785,2873,1011,1695,1543,851
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-08-11,102741,7645,1649,335,0,3350,3846,2646,3464
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1998-08-11,122741,1281,0,0,0,960,690,321,591
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-08-11,232741,25146,0,2830,0,22000,16087,3146,6229
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-08-18,089741,4450,276,768,0,1992,1590,2182,2092
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-08-18,090741,77200,4273,26926,1942,51077,30316,19908,18016
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-08-18,092741,71898,6800,12946,0,55879,40725,9219,18227
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-08-18,095741,42047,2638,3457,755,32847,31628,5807,6207
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-18,097741,148067,9012,52437,593,126354,62200,12108,32837
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-08-18,098662,9054,2315,1706,4304,484,2064,1951,980
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-08-18,102741,10503,3374,335,0,3769,6795,3360,3373
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1998-08-18,122741,1280,0,0,0,960,690,320,590
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-08-18,232741,24901,275,3270,0,21511,15256,3115,6375
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-08-25,089741,5008,1051,578,0,2872,2074,1085,2356
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-08-25,090741,75626,4953,27254,1830,49526,26958,19317,19584
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-08-25,092741,71062,6626,11476,0,55811,41840,8625,17746
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-08-25,095741,41635,1902,4080,796,34289,28312,4648,8447
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-25,097741,144169,4686,46368,343,126513,66601,12627,30857
U.S. DOLLARS-JAPANESE YEN - NEW YORK FUTURES EXCHANGE,1998-08-25,097772,1308,0,0,0,645,886,663,422
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-08-25,098662,11417,4488,3182,4459,420,2760,2050,1016
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-08-25,102741,15232,5634,1491,0,3809,11210,5789,2531
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1998-08-25,122741,1246,0,0,0,960,728,286,518
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-08-25,232741,29098,275,6688,0,25331,13922,3492,8488
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-09-01,089741,4753,1022,305,0,2737,2034,994,2414
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-09-01,090741,73780,5264,16285,2327,43359,36428,22830,18740
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-09-01,092741,94728,29181,2577,1265,37809,74509,26473,16377
U.S. DOLLAR-SWISS FRANC - NEW YORK FUTURES EXCHANGE,1998-09-01,092772,1840,0,0,0,1183,1251,657,589
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-09-01,095741,41120,1332,3579,376,35066,28319,4346,8846
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-01,097741,136199,9078,24395,4,108204,86754,18913,25046
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-09-01,098662,8510,6599,5089,108,935,1681,868,1632
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-09-01,102741,14889,6202,1156,0,6296,12203,2391,1530
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1998-09-01,122741,1246,0,0,0,960,744,286,502
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-09-01,232741,32810,495,9119,207,28113,14024,3995,9460
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-09-08,089741,4589,996,305,0,2589,1812,1004,2472
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-09-08,090741,71659,5375,13057,2166,44769,42410,19349,14026
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-09-08,092741,107698,30246,2568,567,47161,86565,29724,17998
U.S. DOLLAR-SWISS FRANC - NEW YORK FUTURES EXCHANGE,1998-09-08,092772,2784,0,0,0,1971,2270,813,514
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-09-08,095741,43616,1342,3625,320,38193,30362,3761,9309
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-08,097741,138490,25433,17003,348,88417,94241,24292,26898
U.S. DOLLARS-JAPANESE YEN - NEW YORK FUTURES EXCHANGE,1998-09-08,097772,2303,0,0,0,1356,1796,947,507
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-09-08,098662,8711,6276,4639,585,860,1637,990,1850
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-09-08,102741,15445,6155,1156,0,6398,12671,2892,1618
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1998-09-08,122741,1227,0,0,0,960,744,267,483
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-09-08,232741,37012,233,8401,389,31026,17899,5364,10323
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-09-15,089741,1686,845,100,0,354,743,487,843
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-09-15,090741,65301,2907,9135,1458,42642,42085,18294,12623
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-09-15,092741,62729,29363,4162,9,6037,45171,27320,13387
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-09-15,095741,28656,2261,3323,0,22576,17964,3819,7369
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-15,097741,79793,21708,15885,39,36461,45846,21585,18023
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-09-15,098662,9029,5933,3173,2000,300,1743,796,2113
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-09-15,102741,18176,9450,1144,770,4811,13452,3145,2810
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-09-15,232741,23206,0,7236,0,19810,9893,3396,6077
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-09-22,089741,1630,842,100,0,353,743,435,787
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-09-22,090741,51581,1979,7412,1043,32713,31028,15846,12098
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-09-22,092741,60636,31485,4176,9,5784,45207,23358,11244
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-09-22,095741,29189,2474,2773,0,22362,19826,4353,6590
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-22,097741,77894,18703,16640,39,40931,44979,18221,16236
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-09-22,098662,7849,4883,3222,2050,361,539,555,2038
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-09-22,102741,20702,7170,572,0,9422,15510,4110,4620
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-09-22,232741,23008,200,6432,0,20411,10305,2397,6271
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-09-29,089741,1619,842,100,0,343,743,434,776
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-09-29,090741,52049,2007,5430,1453,30162,34817,18427,10349
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-09-29,092741,61231,29785,3716,0,6943,45119,24503,12396
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-09-29,095741,25726,2160,1941,20,19507,17306,4039,6459
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-29,097741,84359,19307,18445,39,46538,49022,18475,16853
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-09-29,098662,7791,4642,2919,2000,507,553,642,2319
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-09-29,102741,21525,7261,572,0,9851,16921,4413,4032
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-09-29,232741,22772,530,4564,0,20341,12915,1901,5293
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-10-06,089741,1612,842,100,0,343,743,427,769
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-10-06,090741,51219,2499,6798,1589,30097,29407,17034,13425
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-10-06,092741,65316,31097,4472,0,8561,49489,25658,11355
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-10-06,095741,28750,1610,1941,290,22967,19656,3883,6863
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-10-06,097741,89771,28162,20336,39,42510,52838,19060,16558
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-10-06,098662,8180,4884,2612,2177,300,1078,819,2313
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-10-06,102741,14709,1942,574,0,8375,12934,4392,1201
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-10-06,232741,23124,589,4416,0,20569,13650,1966,5058
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-10-13,089741,1644,842,100,0,343,743,459,801
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-10-13,090741,50240,2229,5831,1976,29308,31578,16727,10855
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-10-13,092741,57595,27815,1938,0,8826,46651,20954,9006
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-10-13,095741,28575,1474,2031,0,22863,20356,4238,6188
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-10-13,097741,88116,22889,16640,32,45098,51176,20097,20268
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-10-13,098662,6645,4366,2772,1000,300,827,979,2046
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-10-13,102741,14839,1740,574,0,8477,12637,4622,1628
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-10-13,232741,18502,961,1803,2,13563,13955,3976,2742
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-10-20,089741,1580,710,100,0,373,743,497,737
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-10-20,090741,51585,2309,5152,2017,28730,34055,18529,10361
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-10-20,092741,55397,27237,2778,0,8669,42371,19491,10248
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-10-20,095741,25787,1474,647,0,19308,19699,5005,5441
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-10-20,097741,89791,25243,17023,250,46452,53705,17846,18813
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-10-20,098662,6345,3325,1705,2000,300,849,720,1791
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-10-20,102741,14656,1740,574,0,9076,12815,3840,1267
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-10-20,232741,19931,2671,0,0,12768,17684,4492,2247
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-10-27,089741,1505,710,100,0,373,743,422,662
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-10-27,090741,52934,2110,5094,2068,29825,34577,18931,11195
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-10-27,092741,53439,25213,2377,615,9771,39949,17840,10498
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-10-27,095741,23889,1474,597,0,17613,18275,4802,5017
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-10-27,097741,87791,22729,18239,55,46460,53199,18547,16298
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-10-27,098662,6153,3607,2573,1000,686,1021,860,1559
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-10-27,102741,18049,2140,1403,0,10597,14036,5312,2610
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-10-27,232741,20467,2671,0,0,12881,17824,4915,2643
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-11-03,089741,1507,710,100,0,373,743,424,664
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-11-03,090741,56026,2263,3912,2057,31238,38728,20468,11329
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-11-03,092741,47107,20220,2894,229,13107,35271,13551,8713
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-11-03,095741,25019,1474,597,0,17611,19163,5934,5259
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-11-03,097741,89560,25093,16388,0,45258,55321,19209,17851
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-11-03,098662,5819,4216,3457,0,864,1060,739,1302
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-11-03,102741,12139,2255,1727,0,6846,8843,3038,1569
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-11-03,232741,20001,2637,235,0,12408,17543,4956,2223
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-11-10,089741,1488,710,100,0,373,743,405,645
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-11-10,090741,60716,3137,4914,1859,35292,40815,20428,13128
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-11-10,092741,43526,6102,9056,229,27437,21190,9758,13051
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-11-10,095741,23914,1689,597,0,15548,18484,6677,4833
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-11-10,097741,95327,16585,15512,0,60587,57643,18155,22172
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-11-10,098662,5817,1722,845,2526,545,1368,1024,1078
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-11-10,102741,12663,2677,2410,0,7096,8698,2890,1555
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-11-10,232741,21687,3457,243,0,12232,18115,5998,3329
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-11-17,089741,1488,710,100,0,373,743,405,645
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-11-17,090741,63048,2571,7819,2055,37576,38695,20846,14479
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-11-17,092741,37992,6114,5176,220,22676,21873,8982,10723
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-11-17,095741,25749,1939,597,0,16833,20104,6977,5048
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-11-17,097741,86640,18248,15688,0,55599,54071,12793,16881
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-11-17,098662,5442,4039,3497,73,545,859,785,1013
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-11-17,102741,12887,2737,2127,0,6667,9235,3483,1525
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1998-11-17,112661,1656,246,0,0,417,1186,993,470
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-11-17,232741,23475,4242,430,0,12223,20041,7010,3004
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-11-24,089741,1459,710,100,0,373,743,376,616
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-11-24,090741,63624,2166,8243,2046,36660,37705,22752,15630
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-11-24,092741,48642,6472,10750,469,32258,19287,9443,18136
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-11-24,095741,25911,2439,597,0,16580,20664,6892,4650
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-11-24,097741,85183,16515,15586,44,57686,53200,10938,16353
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-11-24,098662,5841,1774,913,2637,300,1594,1130,697
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-11-24,102741,12114,1787,2126,0,7083,8736,3244,1252
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-11-24,232741,24980,4719,342,0,12269,21447,7992,3191
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-12-01,089741,1460,710,100,0,373,743,377,617
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-12-01,090741,65472,3915,6677,2088,37460,41136,22009,15571
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-12-01,092741,53014,1250,13396,208,37102,19042,14454,20368
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-12-01,095741,25268,2411,597,0,15654,19685,7203,4986
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-12-01,097741,84057,12301,14537,30,58566,50971,13160,18519
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-12-01,098662,6298,1056,862,3195,602,1674,1445,567
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-12-01,102741,9782,1722,858,0,5108,7847,2952,1077
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-12-01,232741,24559,4348,543,0,12849,20319,7362,3697
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET,1998-12-08,089741,1460,710,100,0,373,743,377,617
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-12-08,090741,59112,2329,7683,802,39154,40378,16827,10249
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-12-08,092741,56017,4207,11573,6271,32947,23726,12592,14447
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-12-08,095741,25174,3730,597,0,14279,19191,7165,5386
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-12-08,097741,89427,14593,12298,0,60681,60916,14153,16213
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-12-08,098662,3958,963,456,1497,397,1346,1101,659
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-12-08,102741,9779,1872,858,0,5009,7859,2898,1062
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1998-12-08,112661,2303,0,248,0,1503,1132,800,923
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-12-08,232741,32584,3384,538,0,20939,24626,8261,7420
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-12-15,090741,57842,2213,7751,809,39367,40663,15453,8619
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-12-15,092741,35533,14153,2922,822,4217,22016,16341,9773
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-12-15,095741,18226,4310,649,228,7821,14308,5867,3041
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-12-15,097741,65543,19442,11276,533,25717,35466,19851,18268
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-12-15,098662,6405,2881,1336,2266,641,1050,617,1753
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-12-15,102741,11424,2081,1396,0,5230,8312,4113,1716
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-12-15,232741,16303,795,538,0,11761,11484,3747,4281
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-12-22,090741,39710,1804,10010,810,23510,17328,13586,11562
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-12-22,092741,34227,10816,2472,990,6992,17767,15429,12998
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-12-22,095741,19301,4613,307,0,7899,14961,6789,4033
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-12-22,097741,65463,19626,11716,533,27894,37343,17410,15871
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-12-22,098662,5073,1957,1068,2310,352,536,454,1159
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-12-22,102741,12033,2281,1727,250,5730,9008,3772,1048
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-12-22,232741,16234,758,0,0,12200,11141,3276,5093
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1998-12-29,090741,39871,1851,10126,857,23914,16972,13249,11916
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1998-12-29,092741,27894,9645,2526,765,7581,16548,9903,8055
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1998-12-29,095741,19591,4556,307,0,7991,15714,7044,3570
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-12-29,097741,66189,20963,11086,533,27840,40946,16853,13624
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-12-29,098662,5872,2712,2030,2210,563,528,387,1104
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1998-12-29,102741,12727,3276,2265,250,5630,8757,3571,1455
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1998-12-29,232741,16936,269,1048,0,14285,11460,2382,4428
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-01-05,090741,44072,4638,3943,876,21272,30578,17286,8675
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-01-05,092741,28162,6156,2865,813,11809,15811,9384,8673
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-01-05,095741,21948,4826,306,0,8773,18058,8349,3584
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-01-05,097741,78909,32885,10865,554,23349,52995,22121,14495
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-01-05,098662,4661,3059,2266,911,355,174,336,1310
EURO FX - INTERNATIONAL MONETARY MARKET,1999-01-05,099741,2091,0,240,0,0,1428,2091,423
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-01-05,102741,11474,3056,2792,250,5225,6902,2943,1530
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-05,112741,2299,1338,0,0,0,1771,961,528
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-05,232741,16657,229,820,0,13691,11251,2737,4586
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-01-12,090741,51921,11357,3044,857,17220,38914,22487,9106
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-01-12,092741,34499,5154,5639,775,18316,13647,10254,14438
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-01-12,095741,19496,1497,490,133,11538,13347,6328,5526
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-01-12,097741,80474,28236,11310,579,28249,52201,23410,16384
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-01-12,098662,4105,1922,1888,1306,350,0,527,911
EURO FX - INTERNATIONAL MONETARY MARKET,1999-01-12,099741,8241,1717,1277,0,1849,2984,4675,3980
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-01-12,102741,12441,3180,3036,0,5720,7711,3541,1694
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-12,112741,2559,1804,0,0,0,2169,755,390
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-12,232741,19468,900,0,0,12364,16259,6204,3209
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-01-19,090741,50810,6488,3327,869,22196,37646,21257,8968
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-01-19,092741,39551,9619,4776,743,15841,20268,13348,13764
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-01-19,095741,17166,0,0,0,13556,12023,3610,5143
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-01-19,097741,78621,23579,18588,711,33931,45880,20400,13442
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-01-19,098662,4022,1617,1385,1718,410,107,277,812
EURO FX - INTERNATIONAL MONETARY MARKET,1999-01-19,099741,6184,1256,283,0,1647,3480,3281,2421
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-01-19,102741,13660,2776,2437,0,7097,8419,3787,2804
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-19,112741,2327,1167,0,0,303,2010,857,317
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-19,232741,19599,900,0,0,13239,16797,5460,2802
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-01-26,090741,51323,6093,2746,898,22845,37121,21487,10558
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-01-26,092741,39925,9612,7493,543,20018,18700,9752,13189
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-01-26,095741,18164,0,200,0,14023,12766,4141,5198
