market,date,code,oi,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1986-10-31,090741,12377,702,2970,22,4355,4863,7298,4522
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1986-10-31,092741,32621,4697,8971,81,16250,9158,11593,14411
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1986-10-31,096741,36992,1024,8063,400,26243,9708,9325,18821
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1986-10-31,097741,43062,2164,11814,308,28966,14400,11624,16540
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1986-10-31,098661,2541,232,256,1445,338,500,526,340
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1986-11-14,090741,15667,4160,1723,0,1957,9336,9550,4608
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1986-11-14,092741,33294,4099,3116,134,16613,15891,12448,14153
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1986-11-14,096741,32076,1460,5542,410,20163,12336,10043,13788
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1986-11-14,097741,40547,2621,8997,375,24945,17709,12606,13466
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1986-11-14,098661,2666,369,296,1523,336,500,438,347
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1986-11-28,090741,14648,1620,1750,0,3931,8149,9097,4749
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1986-11-28,092741,34495,4507,2964,0,15496,19709,14492,11822
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1986-11-28,096741,34127,2993,3179,266,20960,17471,9908,13211
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1986-11-28,097741,41052,3366,9269,324,24090,18622,13272,12837
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1986-11-28,098661,2258,136,60,1344,334,500,444,354
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1986-12-15,090741,18363,3056,1076,0,5407,12762,9900,4525
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1986-12-15,092741,29054,5274,4838,987,11904,11264,10889,11965
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1986-12-15,096741,28762,2035,2534,6,15759,13788,10962,12434
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1986-12-15,097741,37066,2914,8047,0,25684,13389,8468,15630
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1986-12-15,098661,2171,507,234,908,280,766,476,263
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1986-12-31,090741,14937,2905,1098,0,3637,10078,8395,3761
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1986-12-31,092741,23138,6487,4235,0,4455,10058,12196,8845
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1986-12-31,096741,23145,6382,1651,0,5813,12372,10950,9122
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1986-12-31,097741,23172,5398,1606,267,6393,14390,11114,6909
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1986-12-31,098661,1853,82,30,979,500,500,292,344
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-01-15,090741,15379,3591,1577,0,2253,10023,9535,3779
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-01-15,092741,31252,8914,5204,200,7769,13994,14369,11854
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-01-15,096741,27397,5026,2017,0,8065,13978,14306,11402
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-01-15,097741,33067,10555,1291,0,7143,25685,15369,6091
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-01-15,098661,1942,52,55,1003,520,500,367,384
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-01-30,090741,23106,6196,1031,865,1521,16513,14524,4697
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-01-30,092741,33581,8174,5950,131,9138,15512,16138,11988
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-01-30,096741,27615,4367,1989,0,10828,16425,12420,9201
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-01-30,097741,32164,6749,1285,0,11537,19777,13878,11102
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-01-30,098661,2582,505,109,1124,550,640,403,709
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1987-01-30,232741,1687,392,210,0,610,294,685,1183
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-02-13,090741,24222,4639,1482,1693,3870,16528,14020,4519
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-02-13,092741,34833,6516,9896,275,13939,12818,14103,11844
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-02-13,096741,26684,4927,1598,0,8875,14624,12882,10462
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-02-13,097741,30292,9220,2250,0,8902,19576,12170,8466
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-02-13,098661,3286,619,420,1287,351,640,1029,939
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-02-27,090741,24837,6827,1057,1695,2839,17301,13476,4784
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-02-27,092741,36210,7372,8874,547,14129,14942,14162,11847
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-02-27,096741,41391,14961,1475,700,9303,26840,16427,12376
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-02-27,097741,31988,9321,1777,800,8991,20906,12876,8505
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-02-27,098661,3403,990,677,1095,748,1292,570,339
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-03-13,090741,34455,11212,220,1815,6548,28631,14880,3789
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-03-13,092741,31397,5130,7901,200,12479,11962,13588,11334
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-03-13,096741,58211,17369,1195,20,23144,44643,17678,12353
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-03-13,097741,37276,9687,2179,400,13648,26997,13541,7700
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-03-13,098661,5072,232,344,1670,1760,1904,1410,1154
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-03-31,090741,27963,7855,469,1147,2467,21486,16494,4861
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-03-31,092741,29102,7277,8286,200,5295,13081,16330,7535
SWISS FRANC - PHILADELPHIA BOARD OF TRADE,1987-03-31,092811,2200,0,0,0,2200,2200,0,0
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-03-31,096741,37799,15434,795,1200,3363,27849,17802,7955
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-03-31,097741,43282,18352,2427,530,7055,31980,17345,8345
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-03-31,098661,4530,1259,385,777,1300,2292,1194,1076
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-04-15,090741,25825,3643,800,546,7102,17741,14534,6738
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-04-15,092741,31042,6391,5998,0,8381,16689,16270,8355
SWISS FRANC - PHILADELPHIA BOARD OF TRADE,1987-04-15,092811,2200,0,0,0,2200,2200,0,0
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-04-15,096741,39147,15018,795,211,6348,29990,17570,8151
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-04-15,097741,46438,18351,2078,760,9677,32702,17650,10898
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-04-15,098661,4190,696,304,1500,1455,1900,539,486
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-04-30,090741,24537,1721,1853,442,10780,16301,11594,5941
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-04-30,092741,31854,6116,5925,0,9186,16523,16552,9406
SWISS FRANC - PHILADELPHIA BOARD OF TRADE,1987-04-30,092811,2200,0,0,0,2200,2200,0,0
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-04-30,096741,40247,14176,4839,221,9199,27434,16651,7753
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-04-30,097741,47410,17264,3188,211,11800,29445,18135,14566
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-04-30,098661,5178,1061,937,1322,1570,1900,1225,1019
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-05-15,090741,24663,1667,1257,1459,10648,15474,10889,6473
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-05-15,092741,34132,8789,5069,249,8182,17040,16912,11774
SWISS FRANC - PHILADELPHIA BOARD OF TRADE,1987-05-15,092811,2200,0,0,0,2200,2200,0,0
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-05-15,096741,45116,15618,7526,334,10036,30079,19128,7177
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-05-15,097741,44609,12553,2308,342,14053,27843,17661,14116
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-05-15,098661,5527,393,1077,1761,2270,1900,1103,789
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-05-29,090741,25406,1521,1165,1701,11135,15679,11049,6861
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-05-29,092741,33551,7134,4526,311,12973,16451,13133,12263
SWISS FRANC - PHILADELPHIA BOARD OF TRADE,1987-05-29,092811,2200,0,0,0,2200,2200,0,0
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-05-29,096741,42731,9810,6686,340,18231,25693,14350,10012
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-05-29,097741,51681,15948,5737,483,25786,25813,9464,19648
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-05-29,098661,5293,615,1200,1396,1970,1900,1312,797
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1987-05-29,232741,1991,633,0,0,217,545,1141,1446
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-06-15,090741,25820,1507,580,1719,11588,15783,11006,7738
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-06-15,092741,31521,6505,4498,0,10832,15011,14184,12012
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-06-15,096741,51477,10118,8830,816,25696,31555,14847,10276
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-06-15,097741,40871,8319,1777,738,18556,20839,13258,17517
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-06-15,098661,5965,377,665,2156,1500,2078,1932,1066
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-06-30,090741,19674,3215,274,597,6380,17673,9482,1130
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-06-30,092741,24351,4894,5631,0,7933,10368,11524,8352
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-06-30,096741,33006,10435,2329,0,13333,23070,9238,7607
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-06-30,097741,27969,4612,5846,2911,17129,7588,3317,11624
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-06-30,098661,5055,73,607,1857,1422,1700,1703,891
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-07-15,090741,23082,4652,0,890,2723,17705,14817,4487
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-07-15,092741,27142,3874,5041,240,9842,8418,13186,13443
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-07-15,096741,38435,7732,1849,1,15111,27126,15591,9459
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-07-15,097741,35984,6671,7081,1873,13112,8079,14328,18951
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-07-15,098661,4935,72,582,1826,2000,1800,1037,727
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-07-31,090741,19033,2531,284,850,5047,13388,10605,4511
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-07-31,092741,29387,6932,5488,21,11831,10963,10603,12915
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-07-31,096741,39754,9119,2643,77,19798,24560,10760,12474
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-07-31,097741,38334,8740,6215,479,13389,13214,15726,18426
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-07-31,098661,4683,502,640,1614,1700,2101,867,328
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1987-07-31,232741,4182,2700,1157,0,0,1580,1482,1445
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-08-14,090741,18322,2530,0,586,3477,12712,11729,5024
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-08-14,092741,31829,5112,6499,180,11020,10531,15517,14619
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-08-14,096741,43096,6762,4163,172,25518,25489,10644,13272
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-08-14,097741,37320,6665,8533,892,15426,11586,14337,16309
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-08-14,098661,5018,564,1324,1678,1970,1801,806,215
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1987-08-14,232741,4202,2700,1157,0,0,1807,1502,1238
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-08-31,090741,23449,5651,587,358,1803,17769,15637,4735
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-08-31,092741,31898,6663,3683,212,6847,16142,18176,11861
BRITISH POUND STERLING - INTERNATIONAL MONETARY MARKET,1987-08-31,096741,43281,8415,1486,278,21394,30802,13194,10715
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1987-08-31,097741,52905,21447,1669,917,10411,34721,20130,15598
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1987-08-31,098661,4348,267,311,1781,1700,2000,600,256
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1987-08-31,232741,4142,2700,1157,0,0,2128,1442,857
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1987-09-15,090741,19660,6821,531,935,2044,15773,9860,2421
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1987-09-15,092741,20326,3806,3445,212,7484,10647,8824,6022
