Date,Shares
2025-04-22,55080600
2025-05-26,55255300
2025-05-27,55080600
2025-05-29,55193900
2025-05-30,55080600
2025-06-05,55918000
2025-06-06,55080600
2025-06-09,55586800
2025-06-10,55080600
2025-06-13,55458900
2025-06-14,55080600
2025-06-16,55099500
2025-06-17,54990200
2025-06-18,54971300
2025-06-19,54990100
2025-06-20,54971300
2025-06-27,54969800
2025-07-11,55307100
2025-07-15,55278200
2025-07-16,54780200
2025-08-01,54940400
2025-08-02,54780200
2025-08-12,54602600
2025-08-29,54757500
2025-08-30,54602600
2025-09-04,54998200
2025-09-05,54602600
2025-09-16,54418600
2025-09-18,54418638
2025-10-02,54418638
2025-10-11,54267226
2025-11-14,56115507
2025-11-17,54267226
2025-11-18,54087074
2025-12-12,53926794
2026-01-14,53762606
2026-02-17,53618704
2026-05-15,53601456
2026-05-23,53603528
