Date,Open,High,Low,Close,Volume
2000-01-04,361.25,400,360,400,1364000
2000-01-05,370,385,367,385,1636000
2000-01-06,387.5,387.5,364.75,367.5,1056000
2000-01-07,372.5,390,367.5,379.75,3164000
2000-01-10,379.75,379.75,379.75,379.75,0
2000-01-11,397.5,397.5,375,375,1628000
2000-01-12,382.25,387,375,381.5,1104000
2000-01-13,382.25,382.25,375,375,1448000
2000-01-14,381.25,382.5,368.5,377.5,3512000
2000-01-17,371.25,378.75,370,370,1120000
2000-01-18,367.5,367.75,361.25,363,1512000
2000-01-19,353,355.75,342.5,353.25,2740000
2000-01-20,357.5,357.75,345,345,1948000
2000-01-21,340,342.5,334,339.5,3868000
2000-01-24,329.5,333.25,326.25,327,5328000
2000-01-25,325,343.75,325,327.5,3228000
2000-01-26,332.5,342.5,332.5,332.5,2532000
2000-01-27,337.5,350.25,333.75,342.5,2776000
2000-01-28,355,363.75,354.75,357.5,4120000
2000-01-31,358.75,358.75,351.5,358.75,1652000
2000-02-01,355,368.75,355,364.75,3952000
2000-02-02,364.75,391.25,363,376.75,6828000
2000-02-03,389,401.25,385,396.25,8404000
2000-02-04,405,437.5,403.75,433.25,11236000
2000-02-07,410.75,423.75,410,420,5324000
2000-02-08,412.5,424.75,400,422.5,2036000
2000-02-09,415,422.25,408.75,409,3068000
2000-02-10,409,415,407.5,412.5,1480000
2000-02-11,412.5,412.5,412.5,412.5,0
2000-02-14,415,415,407.75,407.75,1428000
2000-02-15,413.75,414.75,400,407.5,1448000
2000-02-16,400,403.75,397.5,401.25,2492000
2000-02-17,407,412.5,400,402.5,1976000
2000-02-18,412.25,416.75,402.5,409.75,2332000
2000-02-21,417.25,417.25,402.75,405.5,1068000
2000-02-22,412.25,416,403,403,1832000
2000-02-23,381.25,395,378.25,395,1212000
2000-02-24,390,397.5,390,393.25,1904000
2000-02-25,378.25,395,376.25,382.5,2080000
2000-02-28,370,400,370,382.5,1672000
2000-02-29,382.5,382.5,366.25,366.25,1340000
2000-03-01,376.25,395,374.75,382.5,2464000
2000-03-02,390,390,377.5,381.25,1024000
2000-03-03,381.25,386.75,367.5,367.5,1292000
2000-03-06,370.5,373.75,363.75,364,1780000
2000-03-07,362.5,368.75,347.5,368.75,1568000
2000-03-08,373.75,375,367.5,370,2944000
2000-03-09,380.25,380.25,372.25,373.5,1832000
2000-03-10,373.75,387.5,372.75,387.5,3092000
2000-03-13,387.5,387.5,362.75,364.5,2820000
2000-03-14,344.5,349.5,330.25,335,3812000
2000-03-15,345,359.25,345,347.25,1396000
2000-03-16,362.5,369.5,357.5,369.5,1680000
2000-03-17,374.5,387.25,372.5,382.75,3740000
2000-03-20,382.75,382.75,382.75,382.75,0
2000-03-21,381.25,382.75,375,380.75,1140000
2000-03-22,375,397.5,375,397.5,4296000
2000-03-23,397.5,397.5,382.5,392.5,1288000
2000-03-24,385,387,375,379.25,1584000
2000-03-27,394.25,394.25,372.5,372.5,1500000
2000-03-28,380,380,358.25,365,1540000
2000-03-29,368.75,390.25,368.75,382.5,804000
2000-03-30,372.5,387.5,372.5,380.25,1388000
2000-03-31,387.25,401.25,387.25,397.5,1748000
2000-04-03,465,465.25,425,426,6080000
2000-04-04,427.5,444.25,427.5,435,3740000
2000-04-05,435,441,415,425.5,2024000
2000-04-06,430,430,418,418,1172000
2000-04-07,425.25,437.5,416.5,420,1232000
2000-04-10,430,443.75,427.75,438.75,1976000
2000-04-11,435,443.75,427.5,443.25,2304000
2000-04-12,427.5,428.25,415.75,424.75,2320000
